Section,Question,Answer,processed_question
Customer Service,how do i change my atm pin?,"Go to any ATM of your bank, select 'PIN Change', enter the old PIN, and then enter and confirm the new PIN.",change atm pin
Customer Service,what is the charge for atm transactions beyond the free limit?,"After the free limit (5 at own bank ATMs, 3 at other banks in metro), each transaction costs ₹21 per financial transaction as per RBI mandate.",charge atm transactions beyond free limit
Customer Service,how do i register for mobile banking?,"Download your bank's official app, enter your account details, verify with an OTP on your registered mobile, and set your MPIN.",register mobile banking
Customer Service,what is mpin?,"MPIN is a 4–6 digit code you set to log in or authorize transactions in your bank's mobile app, similar to an ATM PIN.",mpin
Customer Service,how do i view my fd details online?,"Log in to your net banking or mobile app and go to the 'Fixed Deposits' or 'Deposits' section to see all active FDs, interest rates, and maturity dates.",view fd details online
Customer Service,can i pay income tax through net banking?,"Yes. Log in to net banking, go to the tax payment section, fill in your details, and pay TDS or advance tax directly using your account.",pay income tax net banking
Customer Service,how do i link aadhaar to my bank account?,"You can link Aadhaar online via net banking, at an ATM, by SMS, or by visiting the branch with your Aadhaar. It's now voluntary but may be needed for certain benefits.",link aadhaar bank account
Customer Service,how do i open an fd online?,"Log in to mobile banking or net banking, go to 'Open FD', enter the amount, tenure, and preferred payout option, and confirm with an OTP.",open fd online
Customer Service,what is the compensation if my money is not refunded after a failed transaction?,RBI mandates banks pay ₹100 per day as compensation if the failed transaction amount is not refunded within the specified timeline (usually 5 days).,compensation money refunded failed transaction
Customer Service,how do i get a home loan pre-approval?,"Submit income documents, Aadhaar, PAN, employment proof, and bank statements to the bank. They assess your eligibility and issue a pre-approval letter.",get home loan preapproval
Customer Service,how do i check my credit score for free?,"You can check your CIBIL score for free once a year at cibil.com. Many banks and apps like Paytm, BankBazaar, and CRED also offer free credit score checks.",check credit score free
Customer Service,how do i get a no objection certificate after loan repayment?,"After clearing your loan, request an NOC from the bank. They'll issue it within a few days, confirming the loan is closed.",get objection certificate loan repayment
Customer Service,what is the process for removing hypothecation from a vehicle?,"Collect the NOC from the bank, then visit the RTO with the NOC, RC, and required forms to update the Registration Certificate and remove the hypothecation entry.",process removing hypothecation vehicle
Customer Service,how do i open a ppf account?,"Visit your bank branch or post office with an Aadhaar, PAN, and passport photo, fill the PPF account opening form, and deposit a minimum of ₹500.",open ppf account
Customer Service,how do i pay an emi early?,"Transfer the outstanding amount to your loan account via net banking. The bank will close the loan and issue an NOC. For home loans on floating rates, no prepayment penalty applies.",pay emi early
Customer Service,how do i dispute a credit card charge?,"Log in to net banking, find the disputed transaction, and raise a dispute. The bank will investigate and initiate a chargeback if the dispute is valid.",dispute credit card charge
Customer Service,what documents are needed for a personal loan?,"You need identity proof (Aadhaar, PAN), address proof, last 3 months' bank statements, latest salary slips, and employment proof.",documents needed personal loan
Customer Service,how do i apply for an education loan?,"Approach the bank with your admission letter, fee structure, co-applicant details, and KYC documents. Some banks process education loans within 15 days.",apply education loan
Customer Service,what is the process for pmjdy account opening?,"Visit any bank branch with Aadhaar and a photo. If Aadhaar has your address, no other document is needed. The account is opened on the spot.",process pmjdy account opening
Customer Service,how do i report a lost or stolen credit card?,Call the bank's 24x7 helpline immediately to block the card. You can also block it instantly via the mobile app. A replacement card will be issued within 3–5 days.,report lost stolen credit card
Customer Service,how do i activate international usage on my debit card?,Log in to mobile banking and enable international usage under card settings. Some banks require calling the helpline to activate this.,activate international usage debit card
Customer Service,how do i get my bank account number?,"Find it on your passbook, cheque book, bank statement, or by logging in to mobile banking. You can also call the helpline with your registered mobile number.",get bank account number
Customer Service,what is the time limit to claim an unclaimed fd?,"If FD proceeds are unclaimed for 10 years, the money is transferred to the RBI's Depositor Education and Awareness (DEA) Fund. You can still claim it from RBI.",time limit claim unclaimed fd
Customer Service,how do i download my bank statement for itr filing?,"Log in to net banking, go to account statements, select the financial year (April to March), and download as PDF. Most banks offer this for the current and previous 2 years.",download bank statement itr filing
Customer Service,how do i register for nach / standing instructions?,"Fill a NACH mandate form with your account details, sign it, and submit to the bank or service provider (like your insurer or mutual fund).",register nach standing instructions
Customer Service,what is the process to upgrade my savings account?,Visit the branch or use net banking to request an upgrade to a premium account tier. You may need to maintain a higher balance or pay a fee.,process upgrade savings account
Customer Service,how do i activate e-statement instead of physical statement?,Log in to net banking and go to account preferences. Select 'e-statement' and provide your email address. Physical statements will stop and digital ones will be sent monthly.,activate estatement instead physical statement
Customer Service,how do i get a duplicate fd receipt?,Submit a request at your branch with an indemnity bond. The bank will issue a duplicate FD receipt after verification.,get duplicate fd receipt
Customer Service,how do i set a upi transaction limit?,UPI transaction limits are set by RBI and your bank. Individual transaction limits can be adjusted within the RBI maximum in your UPI app settings.,set upi transaction limit
Customer Service,how do i enable net banking?,"Visit your bank's website, register using your account number and debit card details, verify with an OTP, and create a login ID and password.",enable net banking
Customer Service,can i reopen a closed bank account?,"Generally, a closed account cannot be reopened. You would need to open a fresh account. Some banks may allow reinstatement within a short window after closure.",reopen closed bank account
Customer Service,how do i transfer my home loan to another bank?,"Apply to the new bank with existing loan statements, property papers, and KYC documents. On approval, the new bank repays the old bank and takes over the loan.",transfer home loan another bank
Customer Service,what should i do if i receive an unknown credit in my account?,Do not spend the money. Inform your bank immediately. It may be a wrong credit by another customer and the bank will reverse it.,receive unknown credit account
Customer Service,how do i apply for a credit card?,"Apply on the bank's website, through the mobile app, or at the branch. You'll need income proof, PAN, and Aadhaar. Approval depends on income and credit score.",apply credit card
Customer Service,what is the minimum age to get a credit card?,You must be at least 18 years old to get a primary credit card. Some banks require a minimum age of 21.,minimum age get credit card
Customer Service,how do i increase my credit card limit?,"Request a limit increase through net banking, mobile app, or by calling the helpline. The bank reviews your income and repayment history before approving.",increase credit card limit
Customer Service,how do i avoid credit card interest charges?,Pay the full outstanding bill amount by the due date every month. Paying only the minimum amount will attract interest on the remaining balance.,avoid credit card interest charges
Customer Service,what is the process for a credit card dispute?,"Log in to net banking, raise a transaction dispute, or call the helpline. The bank investigates and initiates a chargeback to the merchant if the dispute is valid.",process credit card dispute
Customer Service,how do i cancel a standing instruction?,Log in to net banking and go to 'Manage Mandates' or call the helpline to cancel the standing instruction before the next debit date.,cancel standing instruction
Customer Service,how do i check my loan outstanding balance?,"Log in to mobile banking or net banking and go to the loans section. You'll see outstanding principal, upcoming EMI, and the full repayment schedule.",check loan outstanding balance
Customer Service,what is the process to get a home loan top-up?,"Apply to your bank with latest salary slips, property documents, and existing loan statements. Approval depends on your repayment history and current LTV ratio.",process get home loan topup
Customer Service,how do i get cibil report with details?,"Visit cibil.com, register, and pay a fee for a full report. Your bank may also provide it through their app. It shows all loans, repayment history, and hard enquiries.",get cibil report details
Customer Service,how do i add a joint holder to my bank account?,Visit the branch with the new joint holder and their KYC documents. Fill a joint account addition form and specify the mode of operation.,add joint holder bank account
Customer Service,how do i change nominee in a bank account?,"Fill a nomination change form at the branch or through the online banking portal, providing the new nominee's name, relationship, and date of birth.",change nominee bank account
Customer Service,what documents are needed for kyc update?,"Aadhaar card, PAN card, and proof of current address (utility bill, rental agreement). For businesses, a company registration certificate is also needed.",documents needed kyc update
Customer Service,how do i request for duplicate pan card?,Apply on the NSDL or UTIITSL website with your Aadhaar details and a small fee. The duplicate card is delivered by post within 15 business days.,request duplicate pan card
Customer Service,how do i link pan to my bank account?,Visit your branch or use net banking. Submit a PAN linking request. PAN linking with bank accounts is needed for TDS computation and financial reporting.,link pan bank account
Customer Service,what is the process for pmjjby insurance renewal?,Your PMJJBY premium (₹436/year) is auto-debited from your savings account on the renewal date. Ensure sufficient balance before May 31 each year.,process pmjjby insurance renewal
Customer Service,what is the process to get credit card physical form delivered?,"After credit card approval, the card is sent to your registered mailing address within 5–7 business days. Track dispatch status through the bank's app.",process get credit card physical form delivered
Customer Service,how do i convert a debit card purchase to emi?,"Call the bank helpline within the specified days of purchase or use the mobile app. Select the transaction, choose EMI tenure, and confirm. A small processing fee applies.",convert debit card purchase emi
Customer Service,how do i set up auto pay for credit card?,"Register for NACH mandate with your bank, linking your savings account to auto-debit the minimum due or full outstanding amount on the credit card due date.",set auto pay credit card
Customer Service,how do i get a loan repayment certificate for it purposes?,Request a provisional or final interest certificate from the bank's branch or net banking portal. It shows total interest paid in the financial year for tax filing.,get loan repayment certificate purposes
Customer Service,what is the process for an e-mandate cancellation?,"Log in to net banking, go to 'Mandates / AutoPay', select the active mandate, and click cancel. Some mandates may also be cancelled through the company's portal.",process emandate cancellation
Customer Service,how do i set up alerts for low balance?,"Log in to net banking or the mobile app, go to alert settings, and enable low balance alerts. Enter the threshold amount below which you want to be notified.",set alerts low balance
Customer Service,how do i update my email id in the bank?,Visit the branch or use net banking account settings to update your email. An OTP will be sent to your registered mobile for verification.,update email id bank
Customer Service,how do i get a no-dues certificate from the bank?,"Once you repay a loan fully, request a no-dues or loan closure certificate from the bank. It's usually issued within 3–5 working days after all dues are cleared.",get nodues certificate bank
Customer Service,how do i check if my fd is auto-renewed?,Log in to mobile or net banking and check the FD details page. The renewal date and status will show if it has been auto-renewed and at what rate.,check fd autorenewed
Customer Service,how do i get a copy of my sanction letter for a loan?,Log in to net banking or visit the branch to request a copy of your loan sanction letter. It's useful for tax filing and verifying loan terms.,get copy sanction letter loan
Customer Service,how do i avoid sim swap fraud?,"Never share your mobile number or Aadhaar with strangers. If your SIM stops working suddenly, immediately call your telecom provider and bank to block access.",avoid sim swap fraud
Customer Service,how do i opt out of telemarketing calls from my bank?,Register your number on the DND (Do Not Disturb) registry by calling 1909 or through TRAI's website. You can also ask your bank to remove you from marketing lists.,opt telemarketing calls bank
Insurance & Govt Schemes,what is life insurance?,Life insurance pays a lump sum to your family if you pass away during the policy term. It financially protects your dependents.,life insurance
Insurance & Govt Schemes,what is term insurance?,Term insurance is the purest form of life insurance. It covers death risk at a low premium with no maturity benefit if you survive.,term insurance
Insurance & Govt Schemes,what is endowment insurance?,"Endowment insurance combines life cover with savings. It pays out on death or on maturity of the policy, whichever comes first.",endowment insurance
Insurance & Govt Schemes,what is whole life insurance?,Whole life insurance covers you for your entire life (or up to age 99–100). It builds cash value over time that you can borrow against.,whole life insurance
Insurance & Govt Schemes,what is ulip?,"Unit Linked Insurance Plan (ULIP) combines insurance with market-linked investment. Part of your premium goes into funds (equity, debt, hybrid).",ulip
Insurance & Govt Schemes,what is a health insurance deductible?,A deductible is the amount you must pay out of pocket before your health insurance starts covering the medical bill.,health insurance deductible
Insurance & Govt Schemes,what is a cashless hospitalization?,"With cashless hospitalization, your insurer directly settles the bill with the hospital (from a network list), so you don't need to pay and claim later.",cashless hospitalization
Insurance & Govt Schemes,what is a health insurance co-payment?,"Co-payment is a fixed percentage of the medical bill you pay yourself, while the insurer pays the rest. For example, 10% co-pay on a ₹1 lakh bill means you pay ₹10,000.",health insurance copayment
Insurance & Govt Schemes,what is a waiting period in health insurance?,"A waiting period is a time after purchasing the policy during which certain conditions (pre-existing diseases, maternity) are not covered.",waiting period health insurance
Insurance & Govt Schemes,what is a pre-existing disease clause?,Pre-existing diseases (conditions you had before buying the policy) are usually not covered for 2–4 years after purchasing health insurance.,preexisting disease clause
Insurance & Govt Schemes,what is a sum insured in insurance?,Sum insured is the maximum amount your insurer will pay in a year for your health or the lump sum paid in life insurance on death/maturity.,sum insured insurance
Insurance & Govt Schemes,what is a premium in insurance?,"A premium is the regular amount you pay (monthly, quarterly, or annually) to keep your insurance policy active.",premium insurance
Insurance & Govt Schemes,what is a claim in insurance?,A claim is when you formally ask the insurance company to pay you for a loss covered under your policy — like a medical bill or life insurance payout.,claim insurance
Insurance & Govt Schemes,what is a maturity benefit in insurance?,Maturity benefit is the amount paid to you at the end of the insurance policy term if you're still alive. Applicable in endowment and ULIP plans.,maturity benefit insurance
Insurance & Govt Schemes,what is a death benefit in insurance?,Death benefit is the amount paid to your nominee when you die during the active policy period.,death benefit insurance
Insurance & Govt Schemes,what is an annuity plan?,"An annuity plan is an insurance product that provides a regular income — monthly, quarterly, or annually — typically used for retirement planning.",annuity plan
Insurance & Govt Schemes,what is the pmjjby scheme?,Pradhan Mantri Jeevan Jyoti Bima Yojana gives ₹2 lakh life cover for an annual premium of ₹436. Your bank auto-debits the premium from your account.,pmjjby scheme
Insurance & Govt Schemes,what is the pmsby scheme?,"Pradhan Mantri Suraksha Bima Yojana offers ₹2 lakh accidental death and disability cover for just ₹20 per year, auto-debited from your savings account.",pmsby scheme
Insurance & Govt Schemes,what is ayushman bharat yojana?,"Ayushman Bharat provides health cover of ₹5 lakh per family per year to economically vulnerable households for secondary and tertiary hospitalization, completely free.",ayushman bharat yojana
Insurance & Govt Schemes,what is esic?,"ESIC (Employees' State Insurance Corporation) provides health, maternity, and accident insurance to employees earning up to ₹21,000/month. Premium is shared by employer and employee.",esic
Insurance & Govt Schemes,what is epf?,"Employee Provident Fund is a retirement savings scheme where both employee and employer contribute 12% of basic salary. Interest is 8.15% p.a., tax-free on maturity.",epf
Insurance & Govt Schemes,what is eps?,"Employee Pension Scheme is part of the EPF. 8.33% of the employer's share goes into EPS, providing a monthly pension after retirement.",eps
Insurance & Govt Schemes,what is nps?,"National Pension System is a voluntary retirement savings scheme regulated by PFRDA. Contributions earn market-linked returns, and part of the corpus buys an annuity at retirement.",nps
Insurance & Govt Schemes,what is the apy scheme?,"Atal Pension Yojana guarantees a monthly pension of ₹1,000–₹5,000 after age 60 for workers in the unorganized sector, with contributions starting from as low as ₹42/month.",apy scheme
Insurance & Govt Schemes,what is the sukanya samriddhi yojana?,SSY is a savings scheme for the girl child offering ~8.2% interest. It matures when the girl turns 21 and contributions qualify for 80C deduction.,sukanya samriddhi yojana
Insurance & Govt Schemes,what is the senior citizen savings scheme?,SCSS offers a 5-year savings option for those above 60 with the highest interest rate among post office/bank schemes (currently 8.2%). Qualifies for 80C deduction.,senior citizen savings scheme
Insurance & Govt Schemes,what is the post office savings scheme?,"Post offices offer savings products like savings accounts, RD, TD (fixed deposit), MIS, NSC, KVP, SCSS, PPF, and Sukanya Samriddhi under Government Small Savings Schemes.",post office savings scheme
Insurance & Govt Schemes,what is the national savings certificate?,NSC is a 5-year government savings bond issued by post offices offering ~7.7% annual interest. It qualifies for Section 80C deduction and interest is reinvested.,national savings certificate
Insurance & Govt Schemes,what is kisan vikas patra?,KVP is a post office savings certificate where your money doubles in a fixed period (currently ~115 months). No income tax benefit but a safe government-backed option.,kisan vikas patra
Insurance & Govt Schemes,what is the post office monthly income scheme?,POMIS is a 5-year scheme where you deposit a lump sum and receive fixed monthly interest. Safe for retirees needing regular income — currently offering 7.4% p.a.,post office monthly income scheme
Insurance & Govt Schemes,what is rashtriya vayoshri yojana?,"RVY is a government scheme providing senior citizens from the BPL category with free assistive devices like hearing aids, wheelchairs, and spectacles.",rashtriya vayoshri yojana
Insurance & Govt Schemes,what is pm vaya vandana yojana?,"PMVVY is a pension scheme from LIC of India for senior citizens above 60, offering assured returns of 7.4% p.a. for 10 years, paid as monthly, quarterly, or annual pension.",pm vaya vandana yojana
Insurance & Govt Schemes,what is the stand-up india scheme?,"Stand-Up India provides loans from ₹10 lakh to ₹1 crore to SC/ST and women entrepreneurs to set up greenfield enterprises, with bank branches covering at least one such borrower each.",standup india scheme
Insurance & Govt Schemes,what is pm svanidhi?,"PM SVANidhi is a micro-credit scheme for street vendors offering ₹10,000 initial loans, growing to ₹20,000 and ₹50,000 on timely repayment, with a 7% interest subsidy.",pm svanidhi
Insurance & Govt Schemes,what is the credit guarantee fund trust for micro & small enterprises?,"CGTMSE provides collateral-free credit guarantee coverage to banks lending to MSMEs, encouraging banks to lend without security to small businesses.",credit guarantee fund trust micro small enterprises
Insurance & Govt Schemes,what is the mudra bank?,MUDRA (Micro Units Development and Refinance Agency) refinances banks and MFIs to provide loans to micro-enterprises. It doesn't lend directly but sets policy for MUDRA loans.,mudra bank
Insurance & Govt Schemes,what is the jan suraksha scheme?,"Jan Suraksha comprises PMJJBY (life cover), PMSBY (accident cover), and APY (pension), providing low-cost social security to millions of unorganized sector workers.",jan suraksha scheme
Insurance & Govt Schemes,what is pradhan mantri awas yojana?,PMAY provides interest subsidies on home loans to make housing affordable. EWS (income below ₹3L) gets 6.5% subsidy; LIG (₹3–6L) 6.5%; MIG I/II get lower subsidies.,pradhan mantri awas yojana
Insurance & Govt Schemes,what is dicgc insurance?,"DICGC insures bank deposits up to ₹5 lakh per depositor per bank. If the bank fails, you are guaranteed to get back up to ₹5 lakh from DICGC.",dicgc insurance
Insurance & Govt Schemes,what is a general insurance policy?,"General insurance covers non-life assets and health — like car insurance, home insurance, health insurance, and travel insurance. It typically renews every year.",general insurance policy
Insurance & Govt Schemes,what is a third-party motor insurance?,Third-party insurance is mandatory for all vehicles in India. It covers damage or injury caused to another person or vehicle in an accident involving your vehicle.,thirdparty motor insurance
Insurance & Govt Schemes,what is comprehensive vehicle insurance?,"Comprehensive insurance covers damage to your own vehicle in addition to third-party liability — from accidents, theft, fire, flood, and natural disasters.",comprehensive vehicle insurance
Insurance & Govt Schemes,what is idv in vehicle insurance?,IDV is Insured Declared Value — the maximum amount the insurer will pay if your vehicle is stolen or totally damaged. It reduces each year as the vehicle ages.,idv vehicle insurance
Insurance & Govt Schemes,what is a no-claim bonus in vehicle insurance?,"If you don't make any claim in a year, you get a no-claim bonus — a discount of 20–50% on the premium for the next year.",noclaim bonus vehicle insurance
Insurance & Govt Schemes,what is travel insurance?,"Travel insurance covers you during a trip for medical emergencies, trip cancellation, lost luggage, flight delays, and passport loss.",travel insurance
Insurance & Govt Schemes,what is fire insurance?,"Fire insurance covers damage to property and assets from fire, lightning, explosion, and related perils. Required for commercial properties and often recommended for homes.",fire insurance
Insurance & Govt Schemes,what is marine insurance?,"Marine insurance covers goods in transit — by sea, air, or land. It protects merchants and exporters from losses due to cargo damage or delay.",marine insurance
Insurance & Govt Schemes,what is crop insurance?,"Pradhan Mantri Fasal Bima Yojana (PMFBY) provides insurance coverage to farmers against crop losses due to natural calamities, pests, and diseases at low premiums.",crop insurance
Insurance & Govt Schemes,what is a microinsurance plan?,"Microinsurance provides small, low-cost coverage to low-income individuals for health, life, or assets. It's designed to be simple and affordable for rural and informal workers.",microinsurance plan
Insurance & Govt Schemes,what is the irdai?,IRDAI is the Insurance Regulatory and Development Authority of India. It licenses and regulates all insurance companies and protects policyholders in India.,irdai
Insurance & Govt Schemes,what is a policy surrender value?,"Surrender value is the amount you receive if you cancel your life insurance policy before maturity. It's less than the premiums paid, especially if surrendered early.",policy surrender value
Insurance & Govt Schemes,what is a paid-up policy?,A paid-up policy is one where you stop paying premiums but retain a reduced sum assured. The policy continues with a lower benefit.,paidup policy
Insurance & Govt Schemes,what is a lapsed insurance policy?,A policy lapses when you miss premium payments beyond the grace period. Coverage stops. You may revive it within 2–5 years by paying arrears with interest.,lapsed insurance policy
Insurance & Govt Schemes,what is policy revival?,"A lapsed policy can be revived by paying all overdue premiums plus interest and sometimes passing a medical examination, within the revival period of 2–5 years.",policy revival
Insurance & Govt Schemes,what is a free-look period in insurance?,"Free-look period is a 15–30 day window after receiving your policy document. If you're unhappy, you can return it and get a full premium refund.",freelook period insurance
Insurance & Govt Schemes,what is a rider in insurance?,"A rider is an add-on benefit attached to your base insurance policy — like critical illness rider, accidental disability rider, or waiver of premium rider.",rider insurance
Insurance & Govt Schemes,what is critical illness insurance?,"Critical illness insurance pays a lump sum on diagnosis of specified illnesses like cancer, heart attack, stroke, or kidney failure, regardless of actual medical expenses.",critical illness insurance
Insurance & Govt Schemes,what is a hospital daily cash policy?,"A hospital daily cash plan pays a fixed daily allowance (₹500–₹2,000) for each day you're hospitalized, to cover incidental costs not covered by regular health insurance.",hospital daily cash policy
Insurance & Govt Schemes,what is group insurance?,Group insurance is a single policy covering a group of people — like company employees or bank account holders under PMJJBY. It's cheaper than individual policies.,group insurance
Insurance & Govt Schemes,what is an insurance agent?,An insurance agent is licensed by IRDAI to sell insurance products on behalf of one insurer. A broker can sell products of multiple insurers and offers comparison services.,insurance agent
Insurance & Govt Schemes,what is the claims settlement ratio of an insurer?,Claims settlement ratio is the percentage of total claims settled by an insurer in a year. A higher ratio (above 95%) indicates a reliable insurer.,claims settlement ratio insurer
Insurance & Govt Schemes,what is the national health mission?,"NHM is a government program providing affordable healthcare services, especially maternal and child health, to underserved populations in urban and rural India.",national health mission
Insurance & Govt Schemes,what is the central government health scheme?,"CGHS provides comprehensive health facilities to Central Government employees, pensioners, and their families through dispensaries and empanelled hospitals.",central government health scheme
Insurance & Govt Schemes,what is a gratuity?,Gratuity is a one-time payment given by an employer to an employee on retirement or resignation after 5 or more years of service. Calculated as 15 days' salary per year of service.,gratuity
Insurance & Govt Schemes,what is a provident fund?,A provident fund is a retirement savings account where both employee and employer contribute a percentage of salary each month. It earns guaranteed interest and is tax-free at maturity.,provident fund
Insurance & Govt Schemes,what is vpf?,"Voluntary Provident Fund allows employees to contribute more than the mandatory 12% of salary to their EPF account, earning the same 8.15% interest rate.",vpf
Insurance & Govt Schemes,what is the gratuity act?,The Payment of Gratuity Act mandates that employers pay gratuity to employees who have completed at least 5 years of service on retirement or resignation.,gratuity act
Insurance & Govt Schemes,what is esop?,"Employee Stock Option Plan gives employees the right to buy company shares at a set price after a vesting period, allowing them to benefit from company growth.",esop
Insurance & Govt Schemes,what is the employees deposit linked insurance scheme?,"EDLI provides life insurance to EPF members. If an EPF member dies during service, the family receives up to ₹7 lakh as insurance benefit, funded by the employer's contribution.",employees deposit linked insurance scheme
Insurance & Govt Schemes,what is a home loan insurance?,"Home loan insurance (mortgage reducing term assurance) is a decreasing term life insurance plan that covers your outstanding home loan. If you die, the insurer repays the bank.",home loan insurance
Insurance & Govt Schemes,what is a credit card insurance?,"Credit card insurance covers outstanding credit card dues in case of death, permanent disability, or job loss, protecting your family from the burden of repayment.",credit card insurance
Insurance & Govt Schemes,what is personal accident insurance?,"Personal accident insurance provides compensation for accidental death, permanent disability, or hospitalization due to an accident. Separate from regular health insurance.",personal accident insurance
Insurance & Govt Schemes,what is an annuity in insurance?,"An annuity is a stream of regular payments from an insurer, typically for life or a set term, used to provide post-retirement income. You deposit a lump sum upfront.",annuity insurance
Insurance & Govt Schemes,what is the jeevan jyoti scheme premium?,"PMJJBY's current annual premium is ₹436, auto-debited from your savings account between June 1 and May 31 each year for ₹2 lakh life cover.",jeevan jyoti scheme premium
Insurance & Govt Schemes,what is the role of insurance in banking?,Banks sell insurance products (bancassurance) as a distribution channel. Insurance also protects bank assets — loans are covered by collateral insurance and life insurance.,role insurance banking
Insurance & Govt Schemes,what is bancassurance?,"Bancassurance is the partnership between a bank and an insurance company where the bank sells insurance products (life, health, general) to its customers through its branches and digital channels.",bancassurance
Insurance & Govt Schemes,what is a pension plan in insurance?,"A pension plan helps you accumulate a retirement corpus by paying regular premiums. On retirement, the corpus is converted to a monthly annuity income for the rest of your life.",pension plan insurance
Insurance & Govt Schemes,what is pm kisan?,"PM-KISAN provides ₹6,000 per year in three instalments of ₹2,000 directly to small and marginal farmers (below 2 hectares of land). The amount goes directly to their bank account.",pm kisan
Insurance & Govt Schemes,what is the direct benefit transfer scheme?,"DBT directly transfers government subsidies — LPG, scholarships, MNREGA wages, PM-KISAN — to the beneficiary's bank account, eliminating middlemen and reducing leakage.",direct benefit transfer scheme
Insurance & Govt Schemes,what is the jan aushadhi scheme?,Pradhan Mantri Bharatiya Janaushadhi Pariyojana provides quality generic medicines at up to 50–90% lower prices through Jan Aushadhi Kendras across India.,jan aushadhi scheme
International Banking,what is international banking?,"International banking provides financial services across borders — foreign currency accounts, international money transfers, trade finance, and forex services.",international banking
International Banking,what is a swift transfer?,SWIFT transfer is the standard way to send money internationally. It uses SWIFT codes to route the payment through correspondent banks to the destination.,swift transfer
International Banking,what is forex?,"Forex is the foreign exchange market where currencies are bought and sold. Exchange rates fluctuate based on demand and supply, economic data, and geopolitical events.",forex
International Banking,what is an exchange rate?,An exchange rate is the price of one currency in terms of another — like ₹84 for 1 USD. It changes throughout the day based on market forces.,exchange rate
International Banking,what is currency conversion?,"Currency conversion is the process of exchanging one currency for another at the current exchange rate, done at banks, forex agencies, or ATMs abroad.",currency conversion
International Banking,what is a forex card?,A forex card (travel card) is a prepaid card loaded with foreign currency at a locked-in exchange rate. It's cheaper than using a regular debit card abroad.,forex card
International Banking,what is the tcs on forex transactions?,"From July 2023, a 20% Tax Collected at Source (TCS) applies on remittances abroad above ₹7 lakh per year under the Liberalised Remittance Scheme, excluding education and medical.",tcs forex transactions
International Banking,what is the liberalised remittance scheme?,"LRS allows resident Indians to remit up to USD 2,50,000 per financial year abroad for permitted purposes like education, travel, investment, and maintenance of relatives.",liberalised remittance scheme
International Banking,what is a remittance?,"A remittance is money transferred by an NRI to their family in India. India is the world's top remittance receiver, with NRIs sending billions annually.",remittance
International Banking,what is fema in banking?,"FEMA (Foreign Exchange Management Act) governs all cross-border transactions, NRI accounts, imports, exports, and foreign investments in India.",fema banking
International Banking,what is a correspondent bank?,"A correspondent bank in one country provides banking services on behalf of another bank in a different country, facilitating international payments and currency exchange.",correspondent bank
International Banking,what is iban?,"IBAN (International Bank Account Number) is a standard account number format used in Europe and many countries for cross-border transfers, containing country code, check digits, and account details.",iban
International Banking,what is the difference between nre and nro accounts?,"NRE holds foreign earnings in INR, interest is tax-free, and funds are fully repatriable. NRO holds India-earned income, interest is taxable, and repatriation has limits.",difference nre nro accounts
International Banking,what is fcnr deposit?,"FCNR lets NRIs keep deposits in foreign currency (USD, GBP, EUR, CAD, etc.) in Indian banks, earning interest in the same foreign currency without any exchange rate risk.",fcnr deposit
International Banking,what is wire transfer?,A wire transfer is an electronic funds transfer between banks in different countries using the SWIFT network. It's secure but takes 1–5 working days and charges fees.,wire transfer
International Banking,what is cross-currency transaction fee?,"When you use a card abroad or make an international payment in a foreign currency, the bank charges a cross-currency markup — usually 2–4% above the exchange rate.",crosscurrency transaction fee
International Banking,what is a foreign currency account?,A foreign currency account holds money in currencies other than the home currency — like a USD account in an Indian bank — used for international trade or travel.,foreign currency account
International Banking,what is a nostro account?,A nostro account is a bank account held by an Indian bank in a foreign country in a foreign currency — used to facilitate international payments.,nostro account
International Banking,what is a vostro account?,"A vostro account is a foreign bank's account held in an Indian bank in Indian rupees, used for trade settlements and international payments.",vostro account
International Banking,what is a loro account?,"A loro account is a third-party perspective — when Bank A refers to the account that Bank B holds at Bank C, it calls it a loro account.",loro account
International Banking,what is a trade finance letter of credit?,A letter of credit in trade finance is a bank guarantee to the exporter that payment will be made when shipment documents confirming delivery are presented.,trade finance letter credit
International Banking,what is a bank draft for international transfer?,An international bank draft is a bank-issued cheque in foreign currency payable at a specified foreign bank. Used for large one-time payments abroad.,bank draft international transfer
International Banking,what is a forex trading account?,A forex trading account with a broker allows you to buy and sell currency pairs to profit from exchange rate movements. High risk; not for average savers.,forex trading account
International Banking,what is currency hedging?,Currency hedging means locking in an exchange rate using forward contracts or options to protect against unfavourable currency movements in international trade.,currency hedging
International Banking,what is a forward contract in forex?,"A forward contract is an agreement to exchange currency at a fixed rate on a future date, protecting businesses from exchange rate risk on future transactions.",forward contract forex
International Banking,what is the rbi's role in forex?,"RBI manages India's forex reserves, intervenes in the market to prevent extreme rupee volatility, and sets rules for all cross-border transactions under FEMA.",rbis role forex
International Banking,what is the india-russia rupee trade settlement?,"India and Russia (and some other countries) have bilateral agreements to settle trade in Indian rupees or their own currencies, reducing dependence on the US dollar.",indiarussia rupee trade settlement
International Banking,what is a packing credit loan?,Packing credit is a pre-shipment loan given to exporters by banks to buy raw material and produce goods before shipping. Repaid when payment from foreign buyer is received.,packing credit loan
International Banking,what is an export credit guarantee?,Export Credit Guarantee Corporation (ECGC) provides insurance to Indian exporters against the risk of non-payment by foreign buyers.,export credit guarantee
